Name,Latitude,Longitude
Wonokusumo,-7.218427182350029,112.75543700792782
Ujung,-7.211857657647352,112.74915451297673
Sidotopo Wetan,-7.225143861711358,112.76216152907342
Tanah Kali Kedinding,-7.2267764467675235,112.77308465310611
Bulak Banteng,-7.207060357380129,112.76537301248038
Tambak Wedi,-7.211218176268903,112.77364351765459
Sukolilo Baru,-7.246347300488689,112.7955328681154
Kedung Cowek,-7.218988308606242,112.78141516470694
Kenjeran,-7.234529467845762,112.79163490086408
Bulak,-7.230987327409102,112.7818532087795
Perak Barat,-7.219226035436786,112.72370829910072
Morokrembangan,-7.228037698571805,112.71501341536614
Krembangan Selatan,-7.238597008981449,112.73510353648476
Kemayoran,-7.237777787351947,112.72870800768212
Dupak,-7.243955602209449,112.72056630181511
Jepara,-7.241664486781243,112.7257605001382
Alon-Alon Contong,-7.249574354766373,112.73834588324894
Tembok Dukuh,-7.252799389974402,112.72107006643162
Gundih,-7.2482773596305625,112.72589640461248
Bubutan,-7.251601785393538,112.7326234771042
Pakis,-7.28706754551527,112.7223455463722
Banyu Urip,-7.273456073158248,112.72045213911133
Putat Jaya,-7.2769916123403355,112.71740091395125
Petemon,-7.261787913972238,112.71919975341318
Sawahan,-7.261789263602732,112.72846775691174
Kupang Krajan,-7.269950147843584,112.72231929506506
Sono Kwijenan,-7.280086688481485,112.70068261902175
Simomulyo,-7.262632469564538,112.7111894211376
Tanjungsari,-7.266691129016719,112.69045025702398
Simomulyo Baru,-7.265155135624294,112.7051453330198
Sukomanunggal,-7.262908915938458,112.69714381218633
Putat Gede,-7.287299202120561,112.7023768197428
Tambak Sarioso,-7.238615622984957,112.68097574836628
Genting Kalianak,-7.232619464615787,112.70121099491857
Asemrowo,-7.2461531764779785,112.70603284636198
Sumberrejo,-7.216754309369405,112.61155908140765
Babat Jerawat,-7.239132199777188,112.6312095011667
Benowo,-7.237370330875722,112.60997437446005
Pakal,-7.24556939893774,112.61988012086059
Bongkaran,-7.242848167211811,112.74378626805871
Perak Utara,-7.2091727995720305,112.72856431146107
Nyamplungan,-7.231848690369168,112.74030589556764
Perak Timur,-7.227029657800137,112.73265534869367
Dukuh Setro,-7.237658941365353,112.7782960448452
Tambaksari,-7.253380504306041,112.75453462550128
Kapasmadya Baru,-7.240221411066577,112.76622381094954
Gading,-7.2451970352015,112.77770510272147
Pacar Kembang,-7.261060852280474,112.76666366077488
Pacar Keling,-7.260627619074692,112.75647112335584
Rangkah,-7.247141442070095,112.76427323521732
Balongsari,-7.353350143489065,112.6712582288173
Tandes,-7.260734791090479,112.6857289205332
Banjar Sugihan,-7.253060115453399,112.65972384642474
Karangpoh,-7.2685838747003135,112.68074546342956
Manukan Wetan,-7.2469001936525705,112.66764199325608
Manukan Kulon,-7.262238949026421,112.66591219354542
Kandangan,-7.250064636197322,112.65105663541821
Tambakoso Wilangon,-7.220455699787207,112.65278448637288
Sememi,-7.2461756423948325,112.63855920330948
Romokalisari,-7.207386708489202,112.63640239064549
Ploso,-7.252953287592451,112.76970975510932
Menanggal,-7.339640603810179,112.72371526009283
Penjaringan Sari,-7.319683131467354,112.78607091069539
Klampis Ngasem,-7.2887645110621095,112.77703592796293
Wonorejo,-7.310495419348352,112.8203598582134
Jambangan,-7.317659885149416,112.71460282854848
Lakarsantri,-7.299228542460507,112.63362979412533
Sambikerep,-7.276947082044904,112.65213265652461
Kejawen Putih Tambak,-7.2735922406144935,112.81481188726616
Kali Rungkut,-7.322298163251844,112.77074489636425
Bangkingan,-7.323798339432759,112.65859041651721
Darmo,-7.290020352852078,112.73438248966737
Balas Klumprik,-7.327360544773082,112.6849557287664
Medokan Semampir,-7.304858341195122,112.79083193245377
Kebonsari,-7.327310807043147,112.71504415017323
Gebang Putih,-7.280685800588536,112.78694336922814
Sumur Welut,-7.32570815952177,112.67252354372272
Rungkut Menanggal,-7.337200291385344,112.76830268801439
Manyar Sabrangan,-7.282038071781539,112.77214668028408
Lidah Wetan,-7.304158588717071,112.66825274623838
Dukuh Menanggal,-7.344103658094237,112.72811899491161
Babatan,-7.304974705012277,112.68021087786028
Ngagel,-7.288737069239034,112.74529153038445
Warugunung,-7.341177464976525,112.67435787628756
Jemur Wonosari,-7.323527874317503,112.73925971080318
Dukuh Pakis,-7.293155693778042,112.7112528943125
Pagesangan,-7.334802061898212,112.71280009663622
Ketintang,-7.3171436329277375,112.72825685173079
Sawunggaling,-7.299110969675089,112.72722078476603
Kedungdoro,-7.26336373717043,112.73556982678696
Lontar,-7.279024535668788,112.66862704364654
Semolowaru,-7.300373718141734,112.77802366996421
Bendul Merisi,-7.3100839005488485,112.74481940422945
SiwalanKerto,-7.335236441870841,112.73648369925901
Dr. Sutomo,-7.280957971035396,112.73533873097271
Ngagelrejo,-7.297706822792179,112.74938040872765
Wonorejo,-7.271034941140684,112.73163569911354
Baratajaya,-7.296798090351462,112.75933874338021
Mojo,-7.270289405632119,112.76799418834061
Gubeng,-7.27289894265236,112.74957608655137
Ngiden Jangkungan,-7.3038084136344255,112.76778277546656
Tenggilis Mejoyo,-7.319668666739382,112.75793004593092
Kedung Baruk,-7.3153375491210895,112.77720980391337
Rungkut Tengah,-7.333475789986835,112.77410838780412
Kendangsari,-7.324278888493931,112.75142864985963
Gunung Anyar,-7.339119656532417,112.78787041110535
Gunungsari,-7.301567562017727,112.71477232331509
Tegalsari,-7.271517256330861,112.73767765704316
Keputih,-7.289417526617152,112.81991316336598
Jajar Tunggal,-7.308537550696373,112.70489314303691
Mulyorejo,-7.270668550410512,112.78264642965236
Margorejo,-7.315717655737923,112.74012632899252
Rungkut Kidul,-7.329502638483534,112.77287368895463
Kedurus,-7.320297829778944,112.7054762687273
